,time,company,senti_score
0,2019-04-14,aoma,9
1,2019-04-14,haier,3
2,2019-04-14,jiuyang,3
3,2019-04-14,langdi,4
4,2019-04-14,suboer,3
5,2019-04-14,tianji,3
6,2019-04-14,zhongxin,3
7,2019-04-14,geli,3
8,2019-04-14,laoban,3
9,2019-04-14,TCL,3
10,2019-04-14,meidi,4
11,2019-04-14,changhong,3
12,2019-04-14,haixing,5
