time,company,senti_score
2019-04-16,zhongxin,3
2019-04-16,aoma,3
2019-04-16,tianji,3
2019-04-16,suboer,3
2019-04-16,TCL,3
2019-04-16,jiuyang,3
2019-04-16,langdi,4
2019-04-16,meidi,5
2019-04-16,haier,3
2019-04-16,changhong,3
2019-04-16,laoban,3
2019-04-16,haixing,5
2019-04-16,geli,3
